block,sender,receiver,token,send_amount,re_amount
179982,0x1d49b117e05f576Eb238b0CDFD48Be108DfD805d,0x1d49b117e05f576Eb238b0CDFD48Be108DfD805d,USDT,6800000000,6780000000
183205,0x4Dc3360598A90E7ff3e1a880082Fcb5675b71d13,0x4Dc3360598A90E7ff3e1a880082Fcb5675b71d13,USDT,7319000000,7299000000
189628,0x170c9cfF8ef7ee7576f29E1a30417539A3e2e120,0xc2A40e263024aD90A2171ec48A2C10d5f283F20A,USDT,3229731700,3209731700
189887,0x34352Fc5996B96FF2c534bfD864BEE5aEcF539bC,0x34352Fc5996B96FF2c534bfD864BEE5aEcF539bC,USDT,8883000000,8863000000
190014,0x6081b3906dC4480ae20c2457B7427D9840D4a82a,0x6081b3906dC4480ae20c2457B7427D9840D4a82a,USDT,7389000000,7369000000
192465,0x6D84495F7Be48c90049a57c2d2541069C5fE5A6c,0x460EE364476f5E8839A7eb9a21C432596f36C615,USDT,435000000,415000000
193307,0xbc432e4E8CB07E3d764ae0623610355D67e12BE5,0xbc432e4E8CB07E3d764ae0623610355D67e12BE5,USDT,1113000000,1093000000
ETP_TOTAL,0
GENE_TOTAL,0
USDT_TOTAL,35028.7317
DNA_TOTAL,0
